genome_accession,genome_ftp_path,SRA_run_accession
GCF_013339725.1_ASM1333972v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/725/GCF_013339725.1_ASM1333972v1,SRR25318334
GCF_013339725.1_ASM1333972v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/725/GCF_013339725.1_ASM1333972v1,SRR25318347
GCF_013339725.1_ASM1333972v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/725/GCF_013339725.1_ASM1333972v1,SRR25318329
GCF_013339725.1_ASM1333972v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/725/GCF_013339725.1_ASM1333972v1,SRR14626932
GCF_013339725.1_ASM1333972v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/725/GCF_013339725.1_ASM1333972v1,SRR14626935
GCF_013339725.1_ASM1333972v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/725/GCF_013339725.1_ASM1333972v1,SRR11263447
GCA_000469725.3_EMULTI002,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/469/725/GCA_000469725.3_EMULTI002,SRR23725278
GCA_000469725.3_EMULTI002,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/469/725/GCA_000469725.3_EMULTI002,SRR22558380
GCF_016920785.2_ASM1692078v2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/785/GCF_016920785.2_ASM1692078v2,SRR13398844
GCF_016920785.2_ASM1692078v2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/785/GCF_016920785.2_ASM1692078v2,SRR13398845
GCA_037355805.1_I.ric_WGA_PrF_JU,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/355/805/GCA_037355805.1_I.ric_WGA_PrF_JU,SRR26680169
GCA_037355805.1_I.ric_WGA_PrF_JU,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/355/805/GCA_037355805.1_I.ric_WGA_PrF_JU,SRR18810686
GCA_037355805.1_I.ric_WGA_PrF_JU,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/355/805/GCA_037355805.1_I.ric_WGA_PrF_JU,SRR18810692
GCA_037355805.1_I.ric_WGA_PrF_JU,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/355/805/GCA_037355805.1_I.ric_WGA_PrF_JU,SRR18810694
GCA_013358835.2_BIME_Iper_1.3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/358/835/GCA_013358835.2_BIME_Iper_1.3,SRR25318387
GCA_013358835.2_BIME_Iper_1.3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/358/835/GCA_013358835.2_BIME_Iper_1.3,SRR25318385
GCA_013358835.2_BIME_Iper_1.3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/358/835/GCA_013358835.2_BIME_Iper_1.3,SRR25318384
GCA_000181055.3_Rhodnius_prolixus-3.0.3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/055/GCA_000181055.3_Rhodnius_prolixus-3.0.3,SRR15276518
GCA_000181055.3_Rhodnius_prolixus-3.0.3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/055/GCA_000181055.3_Rhodnius_prolixus-3.0.3,SRR15276519
GCA_000181055.3_Rhodnius_prolixus-3.0.3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/055/GCA_000181055.3_Rhodnius_prolixus-3.0.3,SRR6749969
GCA_000181055.3_Rhodnius_prolixus-3.0.3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/055/GCA_000181055.3_Rhodnius_prolixus-3.0.3,SRR6749978
GCF_000648675.2_Clec_2.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/675/GCF_000648675.2_Clec_2.1,SRR1660254
GCF_000648675.2_Clec_2.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/675/GCF_000648675.2_Clec_2.1,SRR6984045
GCF_000648675.2_Clec_2.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/675/GCF_000648675.2_Clec_2.1,SRR6985627
GCF_000313135.1_Acastellanii.strNEFF_v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/135/GCF_000313135.1_Acastellanii.strNEFF_v1,SRR15928354
GCF_000313135.1_Acastellanii.strNEFF_v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/135/GCF_000313135.1_Acastellanii.strNEFF_v1,SRR15928355
GCF_000313135.1_Acastellanii.strNEFF_v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/135/GCF_000313135.1_Acastellanii.strNEFF_v1,"SRR648334	"
GCA_020844145.1_ASM2084414v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/844/145/GCA_020844145.1_ASM2084414v1,SRR15371646
GCA_020844145.1_ASM2084414v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/844/145/GCA_020844145.1_ASM2084414v1,SRR15371659
GCA_020844145.1_ASM2084414v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/844/145/GCA_020844145.1_ASM2084414v1,SRR10821146
GCF_037126465.1_ASM3712646v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/126/465/GCF_037126465.1_ASM3712646v1,SRR18960658
GCA_942486065.2_idCalVomi1.2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/942/486/065/GCA_942486065.2_idCalVomi1.2,SRR11948541
GCA_001447645.1_T4_ISS176_r1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/645/GCA_001447645.1_T4_ISS176_r1.0,SRR14041384
GCA_001447505.1_T9_ISS409_r1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/505/GCA_001447505.1_T9_ISS409_r1.0,SRR14041389
GCA_001447755.1_T10_ISS1980_r1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/755/GCA_001447755.1_T10_ISS1980_r1.0,SRR14041390
GCA_001447665.1_T11_ISS1029_r1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/665/GCA_001447665.1_T11_ISS1029_r1.0,SRR14041391
GCA_001447455.1_T7_ISS37_r1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/455/GCA_001447455.1_T7_ISS37_r1.0,SRR14041387
GCA_001447585.1_T3_ISS120_r1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/585/GCA_001447585.1_T3_ISS120_r1.0,SRR14041383
GCA_001447745.1_T8_ISS272_r1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/745/GCA_001447745.1_T8_ISS272_r1.0,SRR14041388
GCA_002221485.1_ASM222148v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/221/485/GCA_002221485.1_ASM222148v1,SRR14041385
GCA_001447655.1_T12_ISS2496_r1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/655/GCA_001447655.1_T12_ISS2496_r1.0,SRR14041392
GCF_000181795.1_Trichinella_spiralis-3.7.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/795/GCF_000181795.1_Trichinella_spiralis-3.7.1,SRR14041381
GCA_001447565.2_T2_ISS10_r1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/565/GCA_001447565.2_T2_ISS10_r1.1,SRR14041382
GCA_001447435.1_T6_ISS34_r1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/435/GCA_001447435.1_T6_ISS34_r1.0,SRR14041386
GCA_001447645.1_T4_ISS176_r1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/645/GCA_001447645.1_T4_ISS176_r1.0,SRR6976817
GCA_001447755.1_T10_ISS1980_r1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/755/GCA_001447755.1_T10_ISS1980_r1.0,SRR1971673
GCF_003426905.1_ASM342690v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/905/GCF_003426905.1_ASM342690v1,SRR13621574
GCF_030504385.1_Musca_domestica.polishedcontigs.V.1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/504/385/GCF_030504385.1_Musca_domestica.polishedcontigs.V.1.1,SRR650116
GCF_030504385.1_Musca_domestica.polishedcontigs.V.1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/504/385/GCF_030504385.1_Musca_domestica.polishedcontigs.V.1.1,SRR650029
GCF_030504385.1_Musca_domestica.polishedcontigs.V.1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/504/385/GCF_030504385.1_Musca_domestica.polishedcontigs.V.1.1,SRR4217591
GCF_030504385.1_Musca_domestica.polishedcontigs.V.1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/504/385/GCF_030504385.1_Musca_domestica.polishedcontigs.V.1.1,SRR26086468
GCF_000699445.3_UoM_Shae.V3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/699/445/GCF_000699445.3_UoM_Shae.V3,SRR433860
GCF_000699445.3_UoM_Shae.V3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/699/445/GCF_000699445.3_UoM_Shae.V3,SRR433863
GCA_014635995.1_ASM1463599v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/635/995/GCA_014635995.1_ASM1463599v1,SRR9722726
GCA_014635995.1_ASM1463599v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/635/995/GCA_014635995.1_ASM1463599v1,SRR8416036